Skill Name,Tree,Skill Level,Effect Type,Combat Behavior,Build Role,Power Value Estimate,Flat Stat Bonus,Scaling Mod,Duration,Cooldown,Depth Tier (1-6),PvP tested,Needs Tuning
Zone of Denial,Valor,Capstone,"Conditional Buff, Defensive Effect, Utility","Effect: Aura weakens nearby enemies (reduced movement & damage), Effect: Personal control resistance increased while active, Trigger: Remain stationary OR Defensive stance active","Hybrid Support, Survivability, Tempo Control",15,,"DEF + CON, DEF 30 / CON 20",,,6,No,No
Last Bastion,Valor,Capstone,"Conditional Buff, Damage Amplifier, Defensive Effect, Proc Trigger","Effect: Gain temporary Damage Boost, Effect: Increased Recovery Speed during counter window, Trigger: Take damage ≥ 10% Max HP","Burst Damage, Survivability, Tempo Control",16,,"CON + STR, CON 28 / STR 24",3,12,6,No,No
Immutable Core,Valor,Capstone,"Conditional Buff, Defensive Effect, Resource Effect","Effect: DR decays when resources fall, Effect: Gain stacking Damage Reduction from overheal, Effect: High stamina grants stagger resistance, Trigger: Overheal OR Stamina ≥ 80%","Survivability, Sustain, Tempo Control",16,,"CON + DEF, CON 30 / DEF 22",,,6,No,No
Hyper Awareness,Instinct,Capstone,"Defensive Effect, Mobility Effect, Proc Trigger","Effect: Automatic micro-evade OR damage dampening, Effect: Internal cooldown prevents repeated triggers, Trigger: Receive burst damage ≥ 15% Max HP","Mobility, Survivability, Tempo Control",17,,"DEX + CON, DEX 28 / CON 22",0.5,20,6,No,No
Phase Reposition,Instinct,Capstone,"Defensive Effect, Mobility Effect, Proc Trigger","Effect: Increased impact / burst window, Effect: Next attack ignores portion of mitigation, Trigger: Attack within 1s after movement ability","Burst Damage, Mobility, Tempo Control",16,,"DEX + SPD, SPD 32 / DEX 20",1,6,6,No,No
Perfect Flow,Instinct,Capstone,"Conditional Buff, Damage Amplifier, Mobility Effect, Proc Trigger","Effect: Gain stacking Attack Speed, Effect: Gain stacking Critical Chance, Effect: Stacks decay when not evading, Trigger: Successful dodge (i-frame avoidance)","Burst Damage, Mobility, Tempo Control",17,,"DEX + SPD, DEX 30 / SPD 24",6,,6,No,No
Disarm Technique,Discipline,Capstone,"Defensive Effect, Proc Trigger, Utility","Effect: Apply Disarm debuff reducing enemy scaling, Effect: Reduced enemy recovery speed, Trigger: Heavy strike OR stagger event","Hybrid Support, Survivability, Tempo Control",16,,"DEX + DEF, DEX 28 / DEF 22",4,14,6,No,No
Endless Chain,Discipline,Capstone,"Passive Modifier, Proc Trigger, Resource Effect","Effect: Minor attack speed ramp during sustained combat, Effect: Stamina cost reduction stacks, Trigger: Consecutive hits within combo window","Resource Economy, Sustain, Tempo Control",16,,"DEX + CON, DEX 26 / CON 24",8,,6,No,No
Master Scaling,Discipline,Capstone,"Damage Amplifier, Passive Modifier","Effect: Improved hybrid stat conversion, Effect: Increased weapon scaling coefficient, Passive: Weapon scaling uses dominant offensive stat efficiently","Burst Damage, Tempo Control",18,,"STR + DEX, 28 / 28 OR 32 / 22 split",,,6,No,No
Reality Distortion,Intellect,Capstone,"Activated Ability, Resource Effect, Utility","Effect: Enemies inside lose mana regen, Effect: Enemies inside lose stamina regen, Trigger: Activate distortion field","Hybrid Support, Resource Economy, Tempo Control",17,,"ARC + MR, MR 30 / ARC 20",6,24,6,No,No
