Skill Name,Tree,Skill Level,Effect Type,Combat Behavior,Build Role,Power Value Estimate,Flat Stat Bonus,Scaling Mod,Duration,Cooldown,Depth Tier (1-6),PvP tested,Needs Tuning,Balance Notes
Zone of Denial,Valor,Capstone,"Conditional Buff, Defensive Effect, Utility","Effect: Aura weakens nearby enemies (reduced movement 15% & damage 8%), Effect: Personal control resistance +40% while active, Trigger: Remain stationary 2s+ OR Defensive stance active, NOTE: Aura effect halved vs players with 2+ Ferocity nodes","Hybrid Support, Survivability, Tempo Control",15,,"DEF + CON, DEF 30 / CON 20",6,30,6,No,Balanced,Added specificity to debuff values and counterplay for high-Ferocity builds
Last Bastion,Valor,Capstone,"Conditional Buff, Damage Amplifier, Defensive Effect, Proc Trigger","Effect: Gain temporary Damage Boost +18%, Effect: Increased Recovery Speed +25% during counter window, Trigger: Take damage ≥ 10% Max HP, NOTE: 12s internal cooldown between triggers","Burst Damage, Survivability, Tempo Control",16,,"CON + STR, CON 28 / STR 24",3,12,6,No,Balanced,Added ICD to prevent chain triggering; specified damage/recovery values
Immutable Core,Valor,Capstone,"Conditional Buff, Defensive Effect, Resource Effect","Effect: Gain Damage Reduction from overheal (1% DR per 2% overheal, max 7.5% DR), Effect: High stamina grants stagger resistance (+30% at 80%+ stamina), Effect: DR decays by 1% per second when stamina < 60%, Trigger: Overheal OR Stamina ≥ 80%, NOTE: Cannot exceed 60% total mitigation from all sources","Survivability, Sustain, Tempo Control",16,,"CON + DEF, CON 30 / DEF 22",,,6,No,Balanced,"CRITICAL FIX: Added mitigation cap, decay on low stamina, specific DR values to prevent effective health stacking"
Hyper Awareness,Instinct,Capstone,"Defensive Effect, Mobility Effect, Proc Trigger","Effect: Automatic 40% damage dampening on next hit, Effect: 15s internal cooldown prevents repeated triggers, Trigger: Receive burst damage ≥ 15% Max HP in <1s","Mobility, Survivability, Tempo Control",17,,"DEX + CON, DEX 28 / CON 22",0.5,15,6,No,Balanced,Added ICD and specific damage reduction value
Phase Reposition,Instinct,Capstone,"Defensive Effect, Mobility Effect, Proc Trigger","Effect: Next attack ignores 25% of target mitigation, Effect: +15% burst window, Trigger: Attack within 1s after movement ability, NOTE: Mitigation penetration capped at 40% from all sources","Burst Damage, Mobility, Tempo Control",16,,"DEX + SPD, SPD 32 / DEX 20",1,6,6,No,Balanced,Added mitigation penetration cap and specific values
Perfect Flow,Instinct,Capstone,"Conditional Buff, Damage Amplifier, Mobility Effect, Proc Trigger","Effect: Gain stacking Attack Speed +4% per stack, Effect: Gain stacking Critical Chance +3% per stack, Effect: Stacks decay 1 per second when not dodging, Max 4 stacks, Trigger: Successful dodge (i-frame avoidance), NOTE: All stacks lost if out of combat for 4s","Burst Damage, Mobility, Tempo Control",17,,"DEX + SPD, DEX 30 / SPD 24",4,,6,No,Balanced,CRITICAL FIX: Added max stacks (4) and out-of-combat decay to prevent tempo snowball
Disarm Technique,Discipline,Capstone,"Defensive Effect, Proc Trigger, Utility","Effect: Apply Disarm debuff reducing enemy weapon scaling by 20%, Effect: Reduced enemy recovery speed by 15%, Trigger: Heavy strike OR stagger event, NOTE: 10s internal cooldown","Hybrid Support, Survivability, Tempo Control",16,,"DEX + DEF, DEX 28 / DEF 22",4,10,6,No,Balanced,Added ICD and specific debuff values
Endless Chain,Discipline,Capstone,"Passive Modifier, Proc Trigger, Resource Effect","Effect: Attack speed +2% per hit (max +8%), Effect: Stamina cost reduction -3% per hit (max -12%), Trigger: Consecutive hits within 1.5s combo window, NOTE: Stacks decay 1 per second out of combat","Resource Economy, Sustain, Tempo Control",16,,"DEX + CON, DEX 26 / CON 24",8,,6,No,Balanced,Added max values and out-of-combat decay; specified combo window
Master Scaling,Discipline,Capstone,"Damage Amplifier, Passive Modifier","Effect: Improved hybrid stat conversion (+20% to secondary stat contribution), Effect: Weapon scaling coefficient +12%, Passive: Weapon scaling uses dominant offensive stat efficiently, NOTE: Total scaling multiplier from all sources capped at 1.50x","Burst Damage, Tempo Control",18,,"STR + DEX, 28 / 28 OR 32 / 22 split",,,6,No,Balanced,CRITICAL FIX: Added specific scaling values and global scaling cap to prevent amplification stacking
Reality Distortion,Intellect,Capstone,"Activated Ability, Resource Effect, Utility","Effect: Enemies inside lose 50% mana regen, Effect: Enemies inside lose 50% stamina regen, Effect: Field radius 8m, Trigger: Activate distortion field, NOTE: Only one resource suppression effect applies at full strength; if multiple present highest value applies at 100% and others at 50%","Hybrid Support, Resource Economy, Tempo Control",17,,"ARC + MR, MR 30 / ARC 20",4,24,6,No,Balanced,CRITICAL FIX: Reduced duration (6s→4s) and added global suppression limitation rule
