Skill Name,Build Role,Combat Behavior,Cooldown,Depth Tier (1-6),Duration,Effect Type,Flat Stat Bonus,Needs Tuning,Power Value Estimate,PvP tested,Scaling Mod,Skill Level,Tree
Steadfast Guard,Survivability,Trigger: HP ≥ 70%,,4,,"Conditional Buff, Defensive Effect",+6 CON +5 DEF,No,10,No,,Major Node,Valor
Second Wind,"Survivability, Sustain","Effect: Restore 10% HP, Effect: Restore 25% Stamina, Trigger: HP > 25%",45,5,2,"Conditional Buff, Defensive Effect, Proc Trigger",,No,12,No,,Major Node,Valor
Killer Reflex,Burst Damage,"Effect: +15% crit chance, Trigger: Dodge enemy attack",5,5,3,"Conditional Buff, Proc Trigger",+6 SPD +5 DEX,No,9,No,,Major Node,Instinct
Momentum Flow,Mobility,Passive: Faster dodge recovery,,2,,"Mobility Effect, Passive Modifier",+3 SPD +2 DEX,No,4,No,,Minor Node,Instinct
Combat Efficiency,"Resource Economy, Sustain",Effect: Reduced weapon attack stamina cost,,4,,Resource Effect,+6 STR +4 DEX,No,8,No,1.10x Weapon damage,Major Node,Discipline
Weapon Mastery,"Hybrid Support, Tempo Control",Effect: Increase weapon damage scaling slightly,,5,,Passive Modifier,,No,12,No,,Major Node,Discipline
Arcane Feedback,"Resource Economy, Sustain","Effect: Regain a small amount of mana, Trigger: Deal damage with Spell",1,4,,"Proc Trigger, Resource Effect",+7 ARC +5 MR,No,9,No,,Major Node,Intellect
Spell Echo,"Burst Damage, Hybrid Support","Effect: 15% Chance to recast with reduced effectiveness, Trigger: Cast a spell",8,6,,"Damage Amplifier, Proc Trigger, Utility",,No,11,No,,Major Node,Intellect
Divine Resilience,"Survivability, Sustain",Passive: Reduced debuff duration,,5,,Defensive Effect,+6 FTH +5 CON,No,8,No,,Major Node,Zeal
Sacred Retaliation,"Survivability, Sustain","Effect: Reflect 10% post-mitigation damage, Trigger: Take damage",5,5,,"Defensive Effect, Proc Trigger, Utility",,No,10,No,,Major Node,Zeal
Brutal Finish,Burst Damage,"Effect: Deal slightly more damage, Trigger: Enemy HP < 30%",,5,,"Conditional Buff, Damage Amplifier",+7 STR +5 SPD,No,9,No,1.12x Damage,Major Node,Ferocity
Primal Instinct,"Mobility, Survivability","Effect: Ignore stamina penalties briefly, Trigger: Stamina < 20%",20,5,5,"Conditional Buff, Mobility Effect",,No,12,No,,Major Node,Ferocity
Immutable Core,"Survivability, Sustain, Tempo Control","Effect: DR decays when resources fall, Effect: Gain stacking Damage Reduction from overheal, Effect: High stamina grants stagger resistance, Trigger: Overheal OR Stamina ≥ 80%",,6,,"Conditional Buff, Defensive Effect, Resource Effect",,No,16,No,"CON + DEF, CON 30 / DEF 22",Capstone,Valor
Last Bastion,"Burst Damage, Survivability, Tempo Control","Effect: Gain temporary Damage Boost, Effect: Increased Recovery Speed during counter window, Trigger: Take damage ≥ 10% Max HP",12,6,3,"Conditional Buff, Damage Amplifier, Defensive Effect, Proc Trigger",,No,16,No,"CON + STR, CON 28 / STR 24",Capstone,Valor
Zone of Denial,"Hybrid Support, Survivability, Tempo Control","Effect: Aura weakens nearby enemies (reduced movement & damage), Effect: Personal control resistance increased while active, Trigger: Remain stationary OR Defensive stance active",,6,,"Conditional Buff, Defensive Effect, Utility",,No,15,No,"DEF + CON, DEF 30 / CON 20",Capstone,Valor
Perfect Flow,"Burst Damage, Mobility, Tempo Control","Effect: Gain stacking Attack Speed, Effect: Gain stacking Critical Chance, Effect: Stacks decay when not evading, Trigger: Successful dodge (i-frame avoidance)",,6,6,"Conditional Buff, Damage Amplifier, Mobility Effect, Proc Trigger",,No,17,No,"DEX + SPD, DEX 30 / SPD 24",Capstone,Instinct
Phase Reposition,"Burst Damage, Mobility, Tempo Control","Effect: Increased impact / burst window, Effect: Next attack ignores portion of mitigation, Trigger: Attack within 1s after movement ability",6,6,1,"Defensive Effect, Mobility Effect, Proc Trigger",,No,16,No,"DEX + SPD, SPD 32 / DEX 20",Capstone,Instinct
Hyper Awareness,"Mobility, Survivability, Tempo Control","Effect: Automatic micro-evade OR damage dampening, Effect: Internal cooldown prevents repeated triggers, Trigger: Receive burst damage ≥ 15% Max HP",20,6,0.5,"Defensive Effect, Mobility Effect, Proc Trigger",,No,17,No,"DEX + CON, DEX 28 / CON 22",Capstone,Instinct
Master Scaling,"Burst Damage, Tempo Control","Effect: Improved hybrid stat conversion, Effect: Increased weapon scaling coefficient, Passive: Weapon scaling uses dominant offensive stat efficiently",,6,,"Damage Amplifier, Passive Modifier",,No,18,No,"28 / 28 OR 32 / 22 split, STR + DEF",Capstone,Discipline
Endless Chain,"Resource Economy, Sustain, Tempo Control","Effect: Minor attack speed ramp during sustained combat, Effect: Stamina cost reduction stacks, Trigger: Consecutive hits within combo window",,6,8,"Passive Modifier, Proc Trigger, Resource Effect",,No,16,No,"DEX + CON, DEX 26 / CON 24",Capstone,Discipline
Disarm Technique,"Hybrid Support, Survivability, Tempo Control","Effect: Apply Disarm debuff reducing enemy scaling, Effect: Reduced enemy recovery speed, Trigger: Heavy strike OR stagger event",14,6,4,"Defensive Effect, Proc Trigger, Utility",,No,16,No,"DEX + DEF, DEX 28 / DEF 22",Capstone,Discipline
Arcane Overload,"Burst Damage, Resource Economy, Tempo Control","Effect: Buff weakens as mana drops, Effect: Increased casting speed, Effect: Increased spell damage scaling, Trigger: Mana ≥ 70%",,6,,"Conditional Buff, Damage Amplifier, Resource Effect",,No,17,No,"ARC + MR, ARC 30 / MR 22",Capstone,Intellect
Spell Weaving,"Burst Damage, Hybrid Support, Resource Economy","Effect: Next ability empowered, Effect: Resource efficiency increased during hybrid chains, Trigger: Cast after weapon hit OR strike after casting",10,6,2,"Passive Modifier, Proc Trigger, Resource Effect",,No,17,No,"ARC + DEX, ARC 28 / DEX 22",Capstone,Intellect
Reality Distortion,"Hybrid Support, Resource Economy, Tempo Control","Effect: Enemies inside lose mana regen, Effect: Enemies inside lose stamina regen, Trigger: Activate distortion field",24,6,6,"Activated Ability, Resource Effect, Utility",,No,17,No,"ARC + MR, MR 30 / ARC 20",Capstone,Intellect
Divine Overflow,"Burst Damage, Hybrid Support, Sustain","Effect: Gain stacking damage bonus, Trigger: Heal ≥ 10% Max HP",,6,8,"Conditional Buff, Damage Amplifier, Proc Trigger, Resource Effect",,No,16,No,"FTH + CON, FTH 30 / CON 22",Capstone,Zeal
Radiant Conversion,"Resource Economy, Survivability, Sustain","Effect: Healing scales with damage output, Passive: Portion of damage dealt converts to healing",,6,,"Defensive Effect, Passive Modifier, Resource Effect",,No,16,No,"FTH + DEX, FTH + STR, FTH 28 / 22",Capstone,Zeal
Holy Sanctum,"Hybrid Support, Survivability, Tempo Control","Effect: Immune to Status Conditions, Effect: Immune to debuffs, Effect: Remove enemy buffs, Trigger: Activate aura",25,6,5,"Activated Ability, Defensive Effect, Utility",,No,16,No,"CON 28 / FTH 22, FTH + CON",Capstone,Zeal
Predator Momentum,"Burst Damage, Tempo Control","Effect: Damage increases as target HP decreases, Trigger: Target HP below threshold",,6,,"Conditional Buff, Damage Amplifier",,No,17,No,"STR + SPD, STR 32 / SPD 20",Capstone,Ferocity
Blood Surge,"Burst Damage, Mobility, Tempo Control","Effect: Gain cooldown recovery boost, Effect: Gain surge of movement speed, Effect: Surge ends if enemy escapes combat for 2s, Trigger: Target HP below threshold",20,6,4,"Conditional Buff, Mobility Effect, Proc Trigger, Resource Effect",,No,17,No,"SPD 28 / STR 24, STR + SPD",Capstone,Ferocity
Frenzy Pressure,"Resource Economy, Sustain, Tempo Control","Effect: Apply Fatigue, Effect: Fatigued enemy loses stamina regen, Effect: Fatigued enemy suffers increased guard break chance, Trigger: Land 3 consecutive hits OR heavy strike",16,6,6,"Damage Amplifier, Proc Trigger, Resource Effect, Utility",,No,16,No,"STR + DEF, STR 28 / DEF 22",Capstone,Ferocity
,,,,,,,,No,,No,,,
,,,,,,,,No,,No,,,
,,,,,,,,No,,No,,,
,,,,,,,,No,,No,,,
,,,,,,,,No,,No,,,
